schema_version,suite,scope,benchmark,coverage,baseline_point_ns,baseline_lower_ns,baseline_upper_ns,current_point_ns,current_lower_ns,current_upper_ns
criterion-comparison/v1,stepping,release-signal,chain_step_by_value,comparable,15.79948079831083,15.742701838529177,15.86746654041133,16.91165139090296,16.896683116944132,16.928251258457948
criterion-comparison/v1,stepping,release-signal,chain_step_delayed_accept_commit,baseline_only,7.7725989982579575,7.756923334721011,7.7791150597039325,,,
criterion-comparison/v1,stepping,release-signal,chain_step_delayed_accept_reflection,current_only,,,,10.461970001218209,10.435392572372486,10.473215017051574
criterion-comparison/v1,stepping,release-signal,chain_step_delayed_no_plan,comparable,1.0291134827352297,1.0271596732361896,1.0309357303487863,0.7259581193779743,0.7251276827893056,0.7274558730123106
criterion-comparison/v1,stepping,release-signal,chain_step_delayed_reject_plan,baseline_only,7.849492402571355,7.837859648564588,7.858656194298491,,,
criterion-comparison/v1,stepping,release-signal,chain_step_delayed_reject_reflection,current_only,,,,10.5335380983109,10.52557938239098,10.54862806937132
criterion-comparison/v1,stepping,release-signal,chain_step_mut_accept,comparable,12.682809757532148,12.657202847208591,12.69628159464218,13.692242632302243,13.649937065161764,13.723031384428124
criterion-comparison/v1,stepping,release-signal,chain_step_mut_reject_rollback,comparable,102.77633626903565,102.20896046719135,103.46608722934702,198.01191855973718,197.4397803492371,198.34856135807797
criterion-comparison/v1,stepping,release-signal,observing_manual_online_sum_100,comparable,934.478765053487,933.2623971291866,935.2650846028341,1275.0868512876377,1272.1653912822899,1278.5990281921866
criterion-comparison/v1,stepping,release-signal,observing_run_observing_buffer_100,comparable,1558.2926490667833,1556.6270433036996,1560.1659756647139,1776.7103881603346,1774.801176580884,1778.8646252285193
criterion-comparison/v1,stepping,release-signal,observing_run_observing_into_binning_100,comparable,1965.7233252380952,1962.9160617647058,1970.0926666666667,2230.771168047804,2228.3297039883882,2233.728315886965
criterion-comparison/v1,stepping,release-signal,observing_run_observing_into_online_stats_100,comparable,1245.6586786484515,1243.6869072403424,1246.6183797857861,1599.624100162133,1597.3909836065575,1601.5013186029935
criterion-comparison/v1,stepping,release-signal,sampler_run_by_value_100,comparable,1502.855607602745,1500.4793183028582,1506.017092297016,1535.1701754385965,1531.4374770425566,1538.0161914511136
criterion-comparison/v1,stepping,release-signal,sampler_run_by_value_thinned_100/1,current_only,,,,1778.6499416660185,1777.303987187041,1781.360665912161
criterion-comparison/v1,stepping,release-signal,sampler_run_by_value_thinned_100/16,current_only,,,,1779.8129801255077,1776.5969982078852,1781.5106178916662
criterion-comparison/v1,stepping,release-signal,sampler_run_by_value_thinned_100/2,current_only,,,,1792.8734359616014,1789.0595667870036,1799.8144676060713
criterion-comparison/v1,stepping,release-signal,sampler_run_delayed_100,baseline_only,918.5541507024266,917.9300728869896,919.2961006781429,,,
criterion-comparison/v1,stepping,release-signal,sampler_run_delayed_reflection_100,current_only,,,,862.44950621118,861.501976284585,863.0489792060491
criterion-comparison/v1,stepping,release-signal,sampler_run_delayed_thinned_100/1,current_only,,,,1049.5037725765455,1048.7532968975174,1050.006302075443
criterion-comparison/v1,stepping,release-signal,sampler_run_delayed_thinned_100/16,current_only,,,,1051.1512178840946,1047.791525705729,1055.703650901878
criterion-comparison/v1,stepping,release-signal,sampler_run_delayed_thinned_100/2,current_only,,,,1048.9102669774952,1047.3557814768196,1050.0452745512143
criterion-comparison/v1,stepping,release-signal,sampler_run_mut_100,comparable,1038.8576396596375,1036.0193464979727,1040.3961101812401,1276.6953721658297,1276.1101790557045,1278.0474983295994
criterion-comparison/v1,stepping,release-signal,sampler_run_mut_thinned_100/1,current_only,,,,1048.2612480647851,1046.9685316184352,1049.4596396034299
criterion-comparison/v1,stepping,release-signal,sampler_run_mut_thinned_100/16,current_only,,,,1044.7564496870136,1043.2342700682057,1045.8156986646115
criterion-comparison/v1,stepping,release-signal,sampler_run_mut_thinned_100/2,current_only,,,,1044.563128116609,1043.7819971870604,1045.504419697698
